"Precip_Category","Avg_Goals","SE_Goals","Lower_CI","Upper_CI","Matches","Proportion","Home_Goals","Away_Goals","Goal_Diff_Avg","Home_Win_Rate"
"Dry (0mm)",2.90579710144928,0.066980553184797,2.77451521720707,3.03707898569148,690,0.46716316858497,1.84492753623188,1.06086956521739,0.784057971014493,0.565217391304348
"Heavy (>5mm)",2.96116504854369,0.137265445467022,2.69212477542833,3.23020532165905,206,0.139471902505078,1.94174757281553,1.01941747572816,0.922330097087379,0.533980582524272
"Light Rain (0-2mm)",2.65654205607477,0.08002985946084,2.49968353153152,2.81340058061801,428,0.289776574136764,1.76635514018692,0.89018691588785,0.876168224299065,0.598130841121495
"Moderate (2-5mm)",2.91503267973856,0.135644226095788,2.64916999659082,3.18089536288631,153,0.103588354773189,1.95424836601307,0.96078431372549,0.993464052287582,0.588235294117647
