"tSNE1","tSNE2","Result","HadRain","Precipitation","TotalGoals"
6.71544786930539,23.3665007820086,"H",FALSE,0,4
19.5375190140887,-3.39053511023218,"H",FALSE,0,6
19.8716272206133,-5.66864418773424,"H",FALSE,0,4
16.9164460932891,-5.33988342290405,"H",FALSE,0,2
19.0805044409774,-0.573477592799449,"A",FALSE,0,1
8.5814859999334,12.573582844649,"H",TRUE,3.8,8
11.505743903559,-4.17363394567258,"D",TRUE,3.8,4
11.7901768564676,-3.31689886575528,"H",TRUE,0.4,5
7.55308216732867,-14.810070717313,"D",TRUE,0.8,2
16.1869306545772,-15.288408654125,"D",TRUE,0.8,4
19.705591236693,-0.957625926241975,"H",FALSE,0,1
-4.06314788961925,15.5219781217488,"H",FALSE,0,3
-3.47899016600396,-2.99881623264347,"H",FALSE,0,1
-13.9146092033755,9.9492047177279,"A",FALSE,0,2
11.3939464671071,0.154595901703534,"D",FALSE,0,2
19.2658666820599,-7.29702107457852,"D",FALSE,0,0
10.3448956989146,-2.70014227503033,"D",TRUE,5.4,4
6.61295780331574,-17.9055212007616,"D",TRUE,5.4,2
-20.74179020196,-3.43339377498035,"H",TRUE,10,1
-20.8728589965821,-2.74213524345865,"H",TRUE,10,3
-8.00978731039119,-1.19516320015944,"H",FALSE,0,1
-10.3352727195897,-10.3012048204862,"H",TRUE,0.2,1
0.970779210224262,24.3895350025671,"H",TRUE,0.2,7
4.75593794701659,13.5833352536169,"H",TRUE,0.2,4
-3.74016156294659,-16.6094656267473,"A",TRUE,0.2,3
-0.859171112428608,23.5356764014567,"H",TRUE,7.2,5
-14.8487740528001,-8.23910971981571,"H",TRUE,7.2,3
-15.6298690472511,-9.27872244256305,"H",TRUE,7.2,1
-2.95795302075081,-9.54649940012852,"H",FALSE,0,2
5.73337653602627,-9.41445612281696,"H",FALSE,0,3
-18.6483595596961,4.85109724234742,"D",TRUE,8.8,0
-2.49994635460504,24.1122478146145,"H",TRUE,8.8,5
3.81107877050931,-21.326075932934,"D",TRUE,0.2,2
-10.6573178036576,-15.5483905751317,"H",TRUE,3.2,2
-1.44941023602617,-4.02844791908641,"H",TRUE,0.8,3
-18.9639231543359,-6.20524503983394,"A",TRUE,6.8,1
-11.0865201317656,-15.8178926325172,"H",TRUE,6.8,3
-12.3049264310699,15.2648830452927,"H",TRUE,0.2,1
-6.56872688100424,-8.57100581907036,"H",TRUE,0.2,1
-17.3996570771513,-4.07003452990392,"H",TRUE,7.2,3
4.16391548133597,16.9724654571045,"H",TRUE,2.4,5
7.33285142633795,11.4218064388316,"D",TRUE,2.4,6
2.65096609934515,15.4768847113338,"H",TRUE,2.4,5
-7.6487722267478,-13.2020969308868,"D",TRUE,2.4,2
-7.62892306490303,-16.6379938549421,"D",TRUE,2.8,2
-9.80430432213914,6.81488977537412,"H",TRUE,2,1
0.279458828873281,13.8517872528842,"H",TRUE,2,3
