"Season","Date","HomeTeam","AwayTeam","FTR","FTHG","FTAG","HS","AS","HST","AST","HC","AC","HF","AF","HY","AY","cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
"2003-2004",2004-03-20,"Chelsea","Fulham","H",2,1,13,5,8,1,9,1,12,13,1,2,6,0.6,65,12.5,11,7.8,0.2,100500,0
"2003-2004",2004-03-27,"Chelsea","Wolves","H",5,2,15,9,10,4,7,4,6,12,0,2,8,0,51,10,6.7,5,0,101770,0
"2003-2004",2004-03-28,"Arsenal","Man United","D",1,1,17,13,10,8,8,7,15,18,1,1,8,0,52,13.8,8,5.9,0,101830,0
"2003-2004",2004-04-03,"Tottenham","Chelsea","A",0,1,12,10,7,7,5,4,10,10,2,0,6,1.2,89,13.5,10.5,6.6,4.6,100980,0
"2003-2004",2004-04-09,"Arsenal","Liverpool","H",4,2,12,12,7,5,2,8,16,9,3,1,4,8.5,202,11.4,7.8,2.9,1.4,101940,0
"2003-2004",2004-04-10,"Chelsea","Middlesbrough","D",0,0,19,9,9,5,6,2,10,8,1,1,7,0.3,73,12.4,8.6,5.9,0,101880,0
"2003-2004",2004-04-12,"Tottenham","Man City","D",1,1,15,9,10,8,4,3,10,21,1,1,6,0.5,80,14.9,10.2,4.1,0,102610,0
"2003-2004",2004-04-16,"Arsenal","Leeds","H",5,0,15,7,8,2,3,8,10,10,0,0,5,11,243,15.9,13.2,7.2,0,101040,0
"2003-2004",2004-04-17,"Chelsea","Everton","D",0,0,16,5,6,4,8,4,11,10,0,0,6,9.5,226,11.3,11.2,6.5,4.4,100150,0
"2003-2004",2004-04-25,"Tottenham","Arsenal","D",2,2,13,9,7,7,7,4,14,15,1,1,6,5,175,20.8,14.8,9.5,0,102600,0
"2003-2004",2004-05-01,"Arsenal","Birmingham","D",0,0,7,3,1,3,2,3,13,16,0,2,7,0,71,19,11.2,9.1,0,100650,0
"2003-2004",2004-05-01,"Chelsea","Southampton","H",4,0,12,5,7,3,12,3,6,5,0,0,7,0,71,19,11.2,9.1,0,100650,0
"2003-2004",2004-05-08,"Tottenham","Blackburn","H",1,0,16,14,13,2,7,7,9,17,0,2,8,0,75,15.6,11.1,9.5,1.4,100310,0
"2003-2004",2004-05-15,"Arsenal","Leicester","H",2,1,17,2,10,1,7,5,15,13,0,1,4,11.1,280,22.6,16.5,11.1,0,102950,0
"2003-2004",2004-05-15,"Chelsea","Leeds","H",1,0,19,4,9,0,9,2,5,9,0,0,4,11.1,280,22.6,16.5,11.1,0,102950,0
"2004-2005",2004-08-14,"Tottenham","Liverpool","D",1,1,14,16,7,8,3,8,17,11,3,1,6,3.9,159,24.2,20.3,16.4,0,101750,0
"2004-2005",2004-08-15,"Chelsea","Man United","H",1,0,8,11,5,3,2,3,17,8,0,0,7,3.3,148,21.7,19.8,15.3,0,101630,0
"2004-2005",2004-08-21,"Crystal Palace","Everton","A",1,3,15,14,9,7,6,6,6,18,1,1,5,10.8,242,22,15.7,10.9,0,101680,0
"2004-2005",2004-08-22,"Arsenal","Middlesbrough","H",5,3,16,9,11,5,7,5,8,14,1,1,7,6,181,21.3,17.4,12.7,8.4,101850,0
"2004-2005",2004-08-24,"Crystal Palace","Chelsea","A",0,2,7,16,4,10,1,6,9,12,1,1,7,6.6,187,21.1,19,15.3,9,100660,0
"2004-2005",2004-08-25,"Arsenal","Blackburn","H",3,0,15,3,9,0,6,5,11,18,2,4,6,6.9,189,21.6,17.4,13.8,10,100780,0
"2004-2005",2004-08-28,"Chelsea","Southampton","H",2,1,16,6,7,2,9,0,11,12,0,4,5,6.8,184,19,15.8,11.5,0,101270,0
"2004-2005",2004-08-28,"Tottenham","Birmingham","H",1,0,6,10,3,2,2,8,15,5,4,1,5,6.8,184,19,15.8,11.5,0,101270,0
"2004-2005",2004-09-12,"Tottenham","Norwich","D",0,0,15,7,7,2,13,5,17,9,2,1,5,4.6,130,19.3,15.2,11,4.6,101300,0
"2004-2005",2004-09-18,"Arsenal","Bolton","D",2,2,11,8,6,5,3,8,13,17,1,3,5,4.1,117,17.3,18.2,15.5,1.2,101060,0
"2004-2005",2004-09-18,"Crystal Palace","Man City","A",1,2,3,14,1,10,2,7,14,15,2,2,5,4.1,117,17.3,18.2,15.5,1.2,101060,0
"2004-2005",2004-09-19,"Chelsea","Tottenham","D",0,0,20,6,8,3,9,6,16,13,1,2,5,4.4,119,19.5,13,8.7,0,101630,0
"2004-2005",2004-09-25,"Tottenham","Man United","A",0,1,11,6,5,4,3,3,9,10,1,0,6,0.2,50,20.7,10.3,5.3,0.7,102290,0
"2004-2005",2004-10-02,"Arsenal","Charlton","H",4,0,15,4,9,0,6,1,13,15,3,1,5,4,98,16.7,13.8,9.3,3.6,101570,0
"2004-2005",2004-10-03,"Chelsea","Liverpool","H",1,0,13,5,5,3,11,2,14,20,0,1,7,0.2,44,17,13.4,10.1,13.6,101530,0
"2004-2005",2004-10-04,"Crystal Palace","Fulham","H",2,0,20,8,10,5,10,3,10,10,1,1,5,6.2,116,17.8,14.8,12.7,0,100700,0
"2004-2005",2004-10-16,"Arsenal","Aston Villa","H",3,1,18,5,15,2,6,3,11,22,2,4,7,0.1,34,13,9.8,8,0.6,99640,0
"2004-2005",2004-10-23,"Chelsea","Blackburn","H",4,0,17,7,13,4,12,3,11,11,1,2,8,0.1,30,17.9,15.3,14,10.8,100310,0
"2004-2005",2004-10-23,"Crystal Palace","West Brom","H",3,0,11,11,4,6,7,10,11,15,1,3,8,0.1,30,17.9,15.3,14,10.8,100310,0
"2004-2005",2004-10-23,"Tottenham","Bolton","A",1,2,8,6,5,4,2,3,14,17,0,0,8,0.1,30,17.9,15.3,14,10.8,100310,0
"2004-2005",2004-10-30,"Arsenal","Southampton","D",2,2,14,7,9,4,7,7,8,21,1,4,5,3.4,61,13.9,13.2,9.7,0,100710,0
"2004-2005",2004-11-06,"Chelsea","Everton","H",1,0,12,3,3,1,16,3,10,15,1,3,7,0.1,24,11.8,10,7.4,0.4,102710,0
"2004-2005",2004-11-06,"Crystal Palace","Arsenal","D",1,1,3,19,1,13,1,8,10,8,0,1,7,0.1,24,11.8,10,7.4,0.4,102710,0
"2004-2005",2004-11-06,"Tottenham","Charlton","A",2,3,19,3,11,3,5,1,6,13,0,2,7,0.1,24,11.8,10,7.4,0.4,102710,0
"2004-2005",2004-11-13,"Tottenham","Arsenal","A",4,5,10,10,7,6,3,4,20,9,3,0,1,8.4,77,10.2,5.2,2.4,0.2,103430,0
"2004-2005",2004-11-20,"Arsenal","West Brom","D",1,1,11,4,4,2,12,3,9,12,0,1,7,0,16,12.6,2.5,-0.2,2.2,102500,0
"2004-2005",2004-11-20,"Chelsea","Bolton","D",2,2,17,10,11,5,9,2,18,11,1,0,7,0,16,12.6,2.5,-0.2,2.2,102500,0
"2004-2005",2004-11-20,"Crystal Palace","Newcastle","A",0,2,7,17,5,9,3,5,13,10,1,3,7,0,16,12.6,2.5,-0.2,2.2,102500,0
"2004-2005",2004-11-28,"Tottenham","Middlesbrough","H",2,0,14,8,9,3,5,7,11,13,1,2,7,0.5,22,8.9,6.8,6.2,1.6,101330,0
"2004-2005",2004-12-04,"Arsenal","Birmingham","H",3,0,7,2,4,1,4,2,7,15,0,1,7,0.7,21,10.7,6.1,2.1,0,102930,0
"2004-2005",2004-12-04,"Chelsea","Newcastle","H",4,0,14,9,9,5,3,2,12,15,1,2,7,0.7,21,10.7,6.1,2.1,0,102930,0
"2004-2005",2004-12-05,"Crystal Palace","Charlton","A",0,1,5,11,3,7,5,3,16,14,2,3,7,0,13,11.7,8.2,5.8,0,103020,0
"2004-2005",2004-12-11,"Crystal Palace","Blackburn","D",0,0,8,16,1,8,2,1,19,20,3,3,4,4,38,6.1,3.8,-0.7,0,102880,0
"2004-2005",2004-12-12,"Arsenal","Chelsea","D",2,2,10,10,5,5,4,6,11,17,1,3,8,0,12,7.1,3.4,0.7,0,102840,0
"2004-2005",2004-12-18,"Chelsea","Norwich","H",4,0,12,1,8,0,7,3,12,11,0,0,5,0,12,6.3,4.3,0.9,12,100890,0
"2004-2005",2004-12-18,"Tottenham","Southampton","H",5,1,18,7,12,4,6,3,9,13,0,2,5,0,12,6.3,4.3,0.9,12,100890,0
"2004-2005",2004-12-26,"Arsenal","Fulham","H",2,0,11,2,8,1,7,6,12,9,1,2,1,5.7,45,8.2,0.9,-2.8,0,101040,0
"2004-2005",2004-12-26,"Chelsea","Aston Villa","H",1,0,14,9,7,7,6,3,12,13,3,3,1,5.7,45,8.2,0.9,-2.8,0,101040,0
"2004-2005",2004-12-26,"Crystal Palace","Portsmouth","A",0,1,18,11,10,6,9,7,10,14,0,2,1,5.7,45,8.2,0.9,-2.8,0,101040,0
"2004-2005",2004-12-28,"Tottenham","Crystal Palace","D",1,1,17,11,14,7,5,6,10,15,1,0,2,7,51,11.3,2.8,-1.3,0,100890,0
"2004-2005",2005-01-01,"Tottenham","Everton","H",5,2,14,6,12,3,6,4,8,13,0,0,6,0.1,14,12,8.6,5.1,1,101890,0
"2004-2005",2005-01-03,"Crystal Palace","Aston Villa","H",2,0,14,12,9,6,7,7,8,14,2,3,6,1.8,28,10.3,7,3.8,0,103170,0
"2004-2005",2005-01-04,"Arsenal","Man City","D",1,1,13,5,9,4,12,5,10,13,3,3,7,0,13,11.5,8.7,5.9,1.4,102390,0
"2004-2005",2005-01-04,"Chelsea","Middlesbrough","H",2,0,14,2,10,1,4,3,15,9,2,1,7,0,13,11.5,8.7,5.9,1.4,102390,0
"2004-2005",2005-01-15,"Tottenham","Chelsea","A",0,2,12,12,4,5,4,7,14,12,2,4,7,0.7,23,9.8,6.8,3.7,0,102330,0
"2004-2005",2005-01-22,"Chelsea","Portsmouth","H",3,0,14,9,9,5,2,3,2,9,0,0,6,2.7,40,6.7,3.8,0.8,0.6,101950,0
"2004-2005",2005-01-22,"Crystal Palace","Tottenham","H",3,0,8,12,7,6,5,4,9,14,1,2,6,2.7,40,6.7,3.8,0.8,0.6,101950,0
"2004-2005",2005-01-23,"Arsenal","Newcastle","H",1,0,13,4,8,1,11,1,17,19,2,3,3,8.1,70,6.2,3.6,0.9,0,102740,0
"2004-2005",2005-02-01,"Arsenal","Man United","A",2,4,11,10,10,9,6,7,20,16,2,4,8,0.2,24,9.2,8.1,7,0.2,103390,0
"2004-2005",2005-02-05,"Crystal Palace","Bolton","A",0,1,17,9,7,6,6,4,16,10,0,1,7,0.6,31,7.1,6,4.8,0.4,101760,0
"2004-2005",2005-02-05,"Tottenham","Portsmouth","H",3,1,18,6,10,3,9,2,10,8,0,0,7,0.6,31,7.1,6,4.8,0.4,101760,0
"2004-2005",2005-02-06,"Chelsea","Man City","D",0,0,11,5,8,2,7,1,9,11,2,1,6,0.7,32,9.5,7.3,4.9,0,102050,0
"2004-2005",2005-02-14,"Arsenal","Crystal Palace","H",5,1,17,6,12,3,5,1,8,17,1,2,5,2.8,58,6.9,4.8,2.7,0,101880,0
"2004-2005",2005-02-26,"Crystal Palace","Birmingham","H",2,0,8,9,2,5,4,7,23,15,3,3,7,0.6,43,5.4,2.6,-0.2,0.8,101940,0
"2004-2005",2005-02-26,"Tottenham","Fulham","H",2,0,18,8,8,5,13,2,6,13,0,1,7,0.6,43,5.4,2.6,-0.2,0.8,101940,0
"2004-2005",2005-03-05,"Arsenal","Portsmouth","H",3,0,11,5,6,2,7,3,12,15,0,2,6,5.6,113,6.5,3,-0.6,0.8,101120,0
"2004-2005",2005-03-05,"Crystal Palace","Man United","D",0,0,2,16,1,9,2,7,12,9,5,4,6,5.6,113,6.5,3,-0.6,0.8,101120,0
"2004-2005",2005-03-15,"Chelsea","West Brom","H",1,0,23,7,11,4,8,3,13,9,0,1,7,0.3,54,12.4,8,3.6,0,101610,0
"2004-2005",2005-03-19,"Chelsea","Crystal Palace","H",4,1,20,6,13,3,10,4,13,16,1,0,4,9.6,176,20.1,13.1,6.1,0,102490,0
"2004-2005",2005-03-19,"Tottenham","Man City","H",2,1,12,11,9,7,6,4,13,13,2,3,4,9.6,176,20.1,13.1,6.1,0,102490,0
"2004-2005",2005-04-02,"Arsenal","Norwich","H",4,1,21,3,15,1,10,3,8,11,1,0,5,7.2,174,18.3,13.4,8.5,0,101930,0
"2004-2005",2005-04-02,"Crystal Palace","Middlesbrough","A",0,1,23,7,13,5,8,3,6,19,0,4,5,7.2,174,18.3,13.4,8.5,0,101930,0
"2004-2005",2005-04-09,"Chelsea","Birmingham","D",1,1,19,2,12,1,8,5,17,12,2,2,4,7.3,186,11.3,5,-1.2,0,102420,0
"2004-2005",2005-04-10,"Tottenham","Newcastle","H",1,0,19,6,6,3,4,7,9,15,2,2,5,7.6,191,16.3,10.8,5.2,0,102630,0
"2004-2005",2005-04-16,"Crystal Palace","Norwich","D",3,3,12,12,10,8,7,3,17,21,2,2,5,2.7,128,10.3,6.1,1.9,0,100940,0
"2004-2005",2005-04-20,"Chelsea","Arsenal","D",0,0,9,6,3,4,2,2,10,16,1,3,5,1.6,111,11.2,7.9,4.6,0,101340,0
"2004-2005",2005-04-20,"Tottenham","West Brom","D",1,1,15,10,5,4,7,3,12,12,2,0,5,1.6,111,11.2,7.9,4.6,0,101340,0
"2004-2005",2005-04-23,"Chelsea","Fulham","H",3,1,12,10,7,4,4,6,7,11,1,1,7,0,67,14.4,11.3,8.2,0.2,100970,0
"2004-2005",2005-04-23,"Crystal Palace","Liverpool","H",1,0,6,9,3,7,4,1,19,14,2,5,7,0,67,14.4,11.3,8.2,0.2,100970,0
"2004-2005",2005-04-25,"Arsenal","Tottenham","H",1,0,12,7,3,1,4,7,17,15,0,4,8,0.2,78,12.6,10.4,8.2,2.8,100880,0
"2004-2005",2005-05-01,"Tottenham","Aston Villa","H",5,1,20,4,14,3,9,3,13,17,1,2,6,8.2,227,23.4,18.8,14.1,0.6,100760,0
"2004-2005",2005-05-07,"Chelsea","Charlton","H",1,0,15,6,6,3,2,5,7,13,0,0,5,10.4,262,14.9,12.2,9.5,0.2,101260,0
"2004-2005",2005-05-07,"Crystal Palace","Southampton","D",2,2,14,7,6,3,5,2,16,18,3,1,5,10.4,262,14.9,12.2,9.5,0.2,101260,0
"2004-2005",2005-05-08,"Arsenal","Liverpool","H",3,1,11,11,8,6,1,4,13,10,0,2,2,11.6,278,15.2,9.8,4.5,1.6,101410,0
"2004-2005",2005-05-11,"Arsenal","Everton","H",7,0,19,7,12,3,4,2,9,12,2,0,4,7.9,232,13.1,7.8,2.5,0,102620,0
"2004-2005",2005-05-15,"Tottenham","Blackburn","D",0,0,11,12,7,8,5,7,10,14,2,2,4,12.1,292,18.4,10.6,2.7,0,101830,0
"2005-2006",2005-08-13,"West Ham","Blackburn","H",3,1,13,11,5,5,2,6,11,14,0,1,6,3.2,149,22.2,17.2,12.3,6.8,101560,0
"2005-2006",2005-08-14,"Arsenal","Newcastle","H",2,0,15,2,12,1,8,3,15,17,0,1,5,6.1,193,20.2,16.2,12.1,0.4,101740,0
"2005-2006",2005-08-20,"Tottenham","Middlesbrough","H",2,0,18,12,8,3,5,6,16,10,3,1,6,6.6,193,20.5,17.1,13.7,0,102190,0
"2005-2006",2005-08-21,"Chelsea","Arsenal","H",1,0,9,9,6,3,3,7,17,21,2,3,4,9.7,231,24.8,19.7,14.6,0.6,102260,0
"2005-2006",2005-08-24,"Arsenal","Fulham","H",4,1,20,8,14,3,6,7,16,11,5,2,7,0.5,83,16.9,15.2,13.4,8.4,100830,0
"2005-2006",2005-08-24,"Chelsea","West Brom","H",4,0,11,0,8,0,9,1,10,7,0,1,7,0.5,83,16.9,15.2,13.4,8.4,100830,0
"2005-2006",2005-08-27,"Tottenham","Chelsea","A",0,2,11,13,6,7,2,5,16,12,3,2,7,1.9,113,21.3,17.2,13.1,0,101740,0
"2005-2006",2005-08-27,"West Ham","Bolton","A",1,2,13,10,6,6,7,7,13,16,1,4,7,1.9,113,21.3,17.2,13.1,0,101740,0
"2005-2006",2005-09-10,"Chelsea","Sunderland","H",2,0,9,2,6,2,4,2,14,10,1,0,7,0.6,71,23.4,20.2,17,0.2,100980,0
"2005-2006",2005-09-10,"Tottenham","Liverpool","D",0,0,10,11,7,6,4,4,16,13,1,1,7,0.6,71,23.4,20.2,17,0.2,100980,0
"2005-2006",2005-09-12,"West Ham","Aston Villa","H",4,0,14,14,9,8,4,11,15,12,0,1,7,6.4,153,22.2,NA,14.3,0,102140,0
"2005-2006",2005-09-19,"Arsenal","Everton","H",2,0,11,4,4,2,4,0,13,19,2,3,7,1.3,78,19.2,16.2,13.1,0,102580,0
"2005-2006",2005-09-24,"Chelsea","Aston Villa","H",2,1,18,3,6,2,9,1,8,17,1,1,5,7.1,142,18.1,12.4,6.8,0.4,101730,0
"2005-2006",2005-09-24,"West Ham","Arsenal","D",0,0,6,8,0,2,4,3,11,7,2,0,5,7.1,142,18.1,12.4,6.8,0.4,101730,0
"2005-2006",2005-09-26,"Tottenham","Fulham","H",1,0,9,8,4,5,6,6,10,9,0,3,5,2.2,85,18.3,14.2,10.2,2.8,101530,0
"2005-2006",2005-10-02,"Arsenal","Birmingham","H",1,0,16,2,13,2,11,4,13,17,0,1,4,7.9,136,15.8,12,8.2,0,102480,0
"2005-2006",2005-10-15,"Chelsea","Bolton","H",5,1,17,4,8,2,5,3,10,17,2,2,4,6.3,103,20.7,NA,13.2,0,102570,0
"2005-2006",2005-10-15,"Tottenham","Everton","H",2,0,7,8,5,4,5,8,13,9,0,2,4,6.3,103,20.7,NA,13.2,0,102570,0
"2005-2006",2005-10-22,"Arsenal","Man City","H",1,0,4,7,2,4,4,3,24,17,3,5,6,0.7,42,16.1,13.7,11.3,0,1e+05,0
"2005-2006",2005-10-23,"West Ham","Middlesbrough","H",2,1,15,19,8,9,4,7,11,9,1,2,6,2.9,65,16.6,11.6,6.5,9.6,101210,0
"2005-2006",2005-10-29,"Chelsea","Blackburn","H",4,2,19,6,10,4,5,2,12,19,1,5,5,1.9,50,18.8,14.4,10.1,0,100940,0
"2005-2006",2005-10-29,"Tottenham","Arsenal","D",1,1,11,10,3,7,6,1,18,13,4,2,5,1.9,50,18.8,14.4,10.1,0,100940,0
"2005-2006",2005-11-05,"Arsenal","Sunderland","H",3,1,12,1,9,1,4,6,11,13,0,1,4,3,54,14.5,9.2,3.9,0.2,101930,0
"2005-2006",2005-11-05,"West Ham","West Brom","H",1,0,10,10,6,6,8,5,15,12,2,0,4,3,54,14.5,9.2,3.9,0.2,101930,0
"2005-2006",2005-11-19,"Chelsea","Newcastle","H",3,0,12,3,4,2,3,5,12,13,2,1,0,6.6,64,8.7,3.4,-2,0.2,103140,0
"2005-2006",2005-11-20,"Tottenham","West Ham","D",1,1,15,8,8,4,9,7,16,13,3,1,3,6.4,62,6.3,1.6,-3,0.2,103320,0
"2005-2006",2005-11-26,"Arsenal","Blackburn","H",3,0,13,15,10,9,9,10,9,15,1,2,4,0.2,19,6.4,3.3,0.2,0.6,99230,0
"2005-2006",2005-11-27,"West Ham","Man United","A",1,2,10,16,3,10,4,5,15,7,2,3,6,0.4,21,4.8,3,1.1,0,99770,0
"2005-2006",2005-12-03,"Chelsea","Middlesbrough","H",1,0,17,10,9,5,6,4,15,14,0,0,6,2.1,30,10.5,8.5,6.5,0.8,98430,0
"2005-2006",2005-12-03,"Tottenham","Sunderland","H",3,2,14,5,8,2,12,0,8,19,0,2,6,2.1,30,10.5,8.5,6.5,0.8,98430,0
"2005-2006",2005-12-10,"Chelsea","Wigan","H",1,0,11,4,8,1,5,1,16,10,1,1,1,3.9,38,7.6,4.2,0.7,0.2,104050,0
"2005-2006",2005-12-12,"Tottenham","Portsmouth","H",3,1,16,8,9,5,6,3,6,19,0,0,5,1.9,28,8.8,3.8,-1.2,0,103870,0
"2005-2006",2005-12-17,"West Ham","Newcastle","A",2,4,11,10,7,7,3,2,9,16,3,3,0,6.3,47,4.2,2.6,0.9,0,102150,0
"2005-2006",2005-12-18,"Arsenal","Chelsea","A",0,2,7,11,5,8,5,5,13,18,3,4,3,5.3,43,8.3,2.4,-3.5,0.4,102270,0
"2005-2006",2005-12-26,"Chelsea","Fulham","H",3,2,15,9,11,4,10,4,16,16,1,3,6,0.8,20,5.8,3.6,1.5,0.8,102040,0
"2005-2006",2005-12-26,"Tottenham","Birmingham","H",2,0,9,7,4,4,9,8,19,17,4,1,6,0.8,20,5.8,3.6,1.5,0.8,102040,0
"2005-2006",2005-12-28,"Arsenal","Portsmouth","H",4,0,6,6,4,4,3,1,12,13,0,1,3,5.3,44,2.1,0.3,-1.5,0,101710,0
"2005-2006",2005-12-28,"West Ham","Wigan","A",0,2,4,8,1,4,5,3,14,15,1,1,3,5.3,44,2.1,0.3,-1.5,0,101710,0
"2005-2006",2005-12-31,"Chelsea","Birmingham","H",2,0,12,9,8,3,5,4,11,8,1,0,5,2.1,29,8.8,5.4,1.9,0.2,99380,0
"2005-2006",2005-12-31,"Tottenham","Newcastle","H",2,0,13,9,3,4,5,3,13,11,0,1,5,2.1,29,8.8,5.4,1.9,0.2,99380,0
"2005-2006",2006-01-02,"West Ham","Chelsea","A",1,3,6,17,3,10,2,5,10,11,1,3,8,0.3,17,7.6,6.4,5.3,0,102360,0
"2005-2006",2006-01-03,"Arsenal","Man United","D",0,0,8,16,5,6,6,9,17,13,2,3,8,0,13,9.5,7.5,5.5,1,102780,NA
"2005-2006",2006-01-14,"Arsenal","Middlesbrough","H",7,0,24,5,17,2,4,6,12,14,1,2,8,0,14,9.3,8.1,6.9,1,102000,0
"2005-2006",2006-01-21,"Tottenham","Aston Villa","D",0,0,21,4,13,1,9,2,10,15,0,2,0,5.2,54,9.9,6,2.2,0,102790,0
"2005-2006",2006-01-22,"Chelsea","Charlton","D",1,1,12,9,7,5,6,0,10,13,2,1,3,4.2,49,7.1,3.1,-0.9,0.2,103670,0
"2005-2006",2006-01-23,"West Ham","Fulham","H",2,1,9,12,5,6,4,7,16,12,2,2,7,0,17,3.5,2,0.6,0,103600,0
"2005-2006",2006-02-01,"Arsenal","West Ham","A",2,3,16,4,10,4,12,2,6,15,1,1,8,0,19,2,1.5,1,0,102350,0
"2005-2006",2006-02-04,"West Ham","Sunderland","H",2,0,11,7,7,3,6,5,13,11,1,3,6,0,20,5.7,2,-1.6,0,102960,0
"2005-2006",2006-02-05,"Chelsea","Liverpool","H",2,0,10,12,6,2,5,5,14,17,1,2,6,2.6,49,8.9,4.6,0.2,0,103280,0
"2005-2006",2006-02-05,"Tottenham","Charlton","H",3,1,14,7,10,5,5,2,13,13,0,3,6,2.6,49,8.9,4.6,0.2,0,103280,0
"2005-2006",2006-02-11,"Arsenal","Bolton","D",1,1,16,5,10,3,8,6,14,12,2,2,4,1.5,44,7.1,2.3,-2.5,6,102720,0
"2005-2006",2006-02-13,"West Ham","Birmingham","H",3,0,13,17,8,7,4,6,10,7,0,2,7,0.8,37,11.9,8.3,4.7,0.2,101850,0
"2005-2006",2006-02-19,"Tottenham","Wigan","D",2,2,10,8,4,5,4,3,12,14,1,1,8,0,27,7,4.4,1.9,8.6,99770,0
"2005-2006",2006-02-25,"Chelsea","Portsmouth","H",2,0,17,5,8,1,6,7,7,13,0,1,3,9.1,119,7.4,4,0.6,0,101890,0
"2005-2006",2006-03-04,"West Ham","Everton","D",2,2,7,13,3,5,1,9,12,10,3,3,1,8.5,138,5.2,0.4,-4.4,0,99970,0
"2005-2006",2006-03-05,"Tottenham","Blackburn","H",3,2,10,6,5,4,6,9,14,12,2,3,3,7.2,128,7.9,2.7,-2.5,0,100980,0
"2005-2006",2006-03-11,"Chelsea","Tottenham","H",2,1,13,4,10,3,4,4,11,16,2,0,7,1.1,66,5.9,4.7,3.5,0,101780,0
"2005-2006",2006-03-12,"Arsenal","Liverpool","H",2,1,11,8,4,3,5,0,8,18,0,2,8,0.8,62,5.3,1.8,-1.8,0,103000,0
"2005-2006",2006-03-18,"Arsenal","Charlton","H",3,0,16,2,9,1,8,1,6,10,0,1,6,3.8,111,7.5,4.6,1.6,0,102110,0
"2005-2006",2006-03-18,"West Ham","Portsmouth","A",2,4,13,12,6,8,5,4,13,12,1,1,6,3.8,111,7.5,4.6,1.6,0,102110,0
"2005-2006",2006-03-25,"Chelsea","Man City","H",2,0,19,5,10,4,11,1,5,10,1,3,7,3.1,111,14.2,11.6,9,1.6,100080,0
"2005-2006",2006-03-27,"Tottenham","West Brom","H",2,1,11,13,8,8,6,5,10,14,0,2,7,0.4,65,12.9,12.2,11.4,0.2,99720,0
"2005-2006",2006-04-01,"Arsenal","Aston Villa","H",5,0,20,9,16,4,8,8,9,11,0,1,5,6.6,165,15.5,11.8,8.2,3.8,100540,0
"2005-2006",2006-04-02,"West Ham","Charlton","D",0,0,16,8,7,2,12,8,9,6,0,1,5,7.1,173,13.7,9.6,5.6,1.6,100610,0
"2005-2006",2006-04-08,"Tottenham","Man City","H",2,1,23,14,19,6,8,5,4,16,0,3,4,9.6,212,12.4,9.2,6,0,100760,0
"2005-2006",2006-04-09,"Chelsea","West Ham","H",4,1,14,6,5,4,5,5,7,14,0,2,5,3,126,11.1,6.3,1.5,5,101400,0
"2005-2006",2006-04-15,"Arsenal","West Brom","H",3,1,16,8,10,1,5,1,8,6,2,1,6,0,62,14.4,11.1,7.8,0,100710,0
"2005-2006",2006-04-15,"West Ham","Man City","H",1,0,8,6,6,2,9,3,18,11,0,2,6,0,62,14.4,11.1,7.8,0,100710,0
"2005-2006",2006-04-17,"Chelsea","Everton","H",3,0,15,4,8,2,6,3,6,6,0,0,3,6.4,185,15.8,10.4,4.9,0,101370,0
"2005-2006",2006-04-17,"Tottenham","Man United","A",1,2,15,11,8,5,9,5,7,15,1,1,3,6.4,185,15.8,10.4,4.9,0,101370,0
"2005-2006",2006-04-22,"Arsenal","Tottenham","D",1,1,9,9,6,6,5,4,9,9,1,1,4,9.4,231,18.6,13,7.5,0.8,101990,0
"2005-2006",2006-04-26,"West Ham","Liverpool","A",1,2,11,13,7,7,6,3,11,7,0,0,5,6,190,16.5,12.1,7.7,0,102040,0
"2005-2006",2006-04-29,"Chelsea","Man United","H",3,0,11,7,5,2,2,3,17,12,4,2,6,5.1,179,13.9,10.8,7.7,0.8,102120,0
"2005-2006",2006-04-30,"Tottenham","Bolton","H",1,0,9,14,4,6,6,8,11,12,1,5,7,2.7,140,13.2,9.8,6.3,10.2,101150,0
"2005-2006",2006-05-07,"Arsenal","Wigan","H",4,2,13,8,7,3,5,1,12,16,1,1,7,1.5,121,18.5,14.9,11.3,11.2,101650,0
"2005-2006",2006-05-07,"West Ham","Tottenham","H",2,1,12,14,7,6,11,4,17,7,1,0,7,1.5,121,18.5,14.9,11.3,11.2,101650,0
"2006-2007",2006-08-19,"Arsenal","Aston Villa","D",1,1,19,5,11,3,18,1,10,19,1,2,5,7.7,209,22.3,18.4,14.5,2.6,100880,NA
"2006-2007",2006-08-19,"West Ham","Charlton","H",3,1,16,4,5,2,6,0,14,14,2,2,5,7.7,209,22.3,18.4,14.5,2.6,100880,NA
"2006-2007",2006-08-20,"Chelsea","Man City","H",3,0,10,5,4,2,5,2,7,15,1,3,7,0.6,88,20.5,17.9,15.3,0.4,101500,NA
"2006-2007",2006-08-22,"Tottenham","Sheffield United","H",2,0,18,6,13,3,6,4,5,9,0,1,4,5.7,178,22.4,16.6,10.7,0,101890,NA
"2006-2007",2006-08-23,"Charlton","Man United","A",0,3,8,21,2,11,4,11,14,11,1,1,8,0.1,69,20.9,18.2,15.6,9.4,101300,NA
"2006-2007",2006-08-26,"Charlton","Bolton","H",2,0,9,7,5,2,6,5,11,17,1,4,7,1.2,99,21.2,17.4,13.7,0,100890,NA
